block_number,log_index,z,trade_size_usdc,adverse_slippage,z_cap_roll,scale_roll,size_eff_roll,cost_eff_roll
410740745,13,8.274507624573677e-07,53718718610.533455,0.0005464275663171602,,,,
410740765,29,5.94777777724058e-07,38613415476.79493,0.0005334434569316323,,,,
410740766,38,1.9049053147310997e-06,123667869104.20166,0.000606547855793614,,,,
410740934,20,8.7856612108524e-08,5703716569.088,0.0005051837959672729,,,,
410741047,55,6.181579045022816e-07,40131270687.59691,0.0005347411647989945,,,,
410741047,107,1.8879042569397769e-06,122564147794.11278,0.0006055828889335299,,,,
410741048,27,2.742356427513384e-07,17803581789.19067,0.0005155508387304324,,,,
410741241,168,8.96165007758408e-07,58179698496.39336,0.0005502135340553691,,,,
410741243,83,1.5825236214051457e-06,103292894977.2787,0.0005885301114658705,,,,
410741255,53,6.682659610096603e-07,43618385718.736305,0.0005375263038247738,,,,
410741280,94,8.567294853526667e-07,55919587902.198814,0.0005480403057101167,,,,
410741288,3,7.940918218599962e-07,51831165139.178246,0.0005445424485253981,,,,
410741330,5,1.3854758987226404e-06,90431393607.40741,0.0,,,,
410741365,35,8.16241968248639e-07,53276927283.70909,0.0,,,,
410741459,68,1.1613449210813586e-06,75802141176.9764,0.0005650292455409451,,,,
410741459,143,1.3095115872053444e-06,85473127237.51257,0.000573288887669587,,,,
410741460,42,1.3811145083631113e-07,9014672130.914387,0.0005079757430567356,,,,
410741475,68,6.132608044873107e-07,40028144297.36212,0.0005344587656475777,,,,
410741476,27,1.853086743570794e-06,120952819786.3417,0.0006035957665978833,,,,
410741476,70,9.769193164482402e-07,63764498039.8868,0.0005547292653686188,,,,
410741544,10,9.303089223802813e-07,60722191135.78109,0.0,,,,
410741557,14,8.962602842107899e-07,58499802566.669014,0.0,,,,
410741878,71,2.5205677252016868e-06,164519969118.18707,0.0,,,,
410741891,9,8.961037638357411e-07,58489586325.69603,0.0,,,,
410741974,32,5.76596616989078e-07,37635036215.14623,0.0,,,,
410741979,20,1.011164086577188e-06,65999688337.589714,0.0,,,,
410742003,3,8.959746635533729e-07,58481159821.517624,0.0,,,,
410742277,24,1.3922091799484187e-06,90870881587.9339,0.0,,,,
410742288,30,6.520762857306372e-07,42333277211.247574,0.0,,,,
410742293,7,8.792360290419311e-07,57080656613.42574,0.0,,,,
410742296,15,8.739533810436298e-07,56737703178.351875,0.0,,,,
410742298,64,5.846391726081993e-07,37955209695.8193,0.0,,,,
410742301,4,8.638103443487375e-07,56079209695.97103,0.0,,,,
410742309,31,5.847163224682605e-07,37960218322.08627,0.0,,,,
410742312,8,9.881212785792914e-07,64149567956.69922,0.0,,,,
